City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Albany,US,2021-08-09 04:04:58,42.6001,-73.9662,70.38,82,5,3.83
60,Podgornoye,RU,2021-08-09 04:04:59,51.735,39.1496,77.22,38,0,8.95
61,Honiara,SB,2021-08-09 04:03:55,-9.4333,159.95,81.77,78,89,4.63
62,Banda Aceh,ID,2021-08-09 04:05:00,5.5577,95.3222,85.21,68,99,10.45
63,Butaritari,KI,2021-08-09 04:05:00,3.0707,172.7902,83.66,61,13,8.99
64,Korla,CN,2021-08-09 04:05:01,41.7597,86.1469,86.77,26,17,12.17
65,Arraial Do Cabo,BR,2021-08-09 04:05:03,-22.9661,-42.0278,68.11,86,0,23.64
66,Victoria,HK,2021-08-09 04:02:31,22.2855,114.1577,87.85,85,100,2.57
67,Carnarvon,AU,2021-08-09 04:05:04,-24.8667,113.6333,69.85,60,18,12.53
68,Ahipara,NZ,2021-08-09 04:05:04,-35.1667,173.1667,52.34,55,80,20.54
69,Tuktoyaktuk,CA,2021-08-09 04:05:04,69.4541,-133.0374,43.79,83,42,10.04
70,Adrar,MR,2021-08-09 04:05:05,20.5022,-10.0711,82.35,24,34,11.48
71,Chuy,UY,2021-08-09 04:05:05,-33.6971,-53.4616,56.7,98,86,8.55
72,Chapadinha,BR,2021-08-09 04:05:06,-3.7417,-43.3603,74.08,82,77,1.43
73,Bluff,NZ,2021-08-09 04:05:06,-46.6,168.3333,44.8,77,100,19.98
74,Siderno,IT,2021-08-09 04:05:07,38.2779,16.302,81.84,46,6,9.37
75,Poronaysk,RU,2021-08-09 04:05:07,49.2167,143.1167,59.05,69,99,11.54
76,Superior,US,2021-08-09 04:05:08,46.7208,-92.1041,67.82,96,90,4.61
77,Nexo,DK,2021-08-09 04:05:08,55.0607,15.1306,55.49,76,99,12.62
78,Japura,ID,2021-08-09 04:05:08,-0.3167,102.35,93.24,51,51,2.26
79,Puerto Ayora,EC,2021-08-09 04:05:09,-0.7393,-90.3518,69.55,91,34,5.01
80,Sabzevar,IR,2021-08-09 04:05:09,36.2126,57.6819,86.43,15,0,5.79
81,Mar Del Plata,AR,2021-08-09 04:05:10,-38.0023,-57.5575,46.42,66,0,11.5
82,Naurskaya,RU,2021-08-09 04:05:10,43.6519,45.3133,81.54,53,23,9.31
83,Portland,US,2021-08-09 04:02:48,45.5234,-122.6762,69.78,63,1,3.0
84,Hobart,AU,2021-08-09 04:01:22,-42.8794,147.3294,59.25,60,75,1.99
85,Souillac,MU,2021-08-09 04:05:11,-20.5167,57.5167,70.36,87,94,9.89
86,Upernavik,GL,2021-08-09 04:05:11,72.7868,-56.1549,41.56,87,90,9.37
87,Lasa,IT,2021-08-09 04:01:00,46.6166,10.7002,56.14,90,67,2.82
88,Touros,BR,2021-08-09 04:00:40,-5.1989,-35.4608,73.33,89,34,11.5
89,Vanimo,PG,2021-08-09 04:05:12,-2.6741,141.3028,83.57,72,70,8.28
90,Port Lincoln,AU,2021-08-09 04:05:12,-34.7333,135.8667,65.07,48,6,17.16
91,Margate,GB,2021-08-09 04:00:58,51.3813,1.3862,60.31,86,98,1.99
92,Suntar,RU,2021-08-09 04:05:13,62.1444,117.6319,76.24,61,100,1.14
93,Point Fortin,TT,2021-08-09 04:05:13,10.1833,-61.6833,80.15,81,54,8.93
94,Bethel,US,2021-08-09 04:05:14,41.3712,-73.414,70.63,89,1,0.0
95,Olinda,BR,2021-08-09 04:05:14,-8.0089,-34.8553,73.13,94,90,9.22
96,Aksarka,RU,2021-08-09 04:02:49,66.5606,67.7975,57.52,57,79,16.08
97,Lavumisa,SZ,2021-08-09 04:05:14,-27.31,31.892,55.89,45,1,4.81
98,Hervey Bay,AU,2021-08-09 04:05:15,-25.2986,152.8535,71.04,79,95,16.58
99,Srednekolymsk,RU,2021-08-09 04:05:15,67.45,153.6833,73.76,33,10,5.12
100,Nome,US,2021-08-09 04:05:16,64.5011,-165.4064,61.16,63,90,5.75
101,Ponta Do Sol,PT,2021-08-09 04:01:02,32.6667,-17.1,69.12,70,21,4.92
102,Yellowknife,CA,2021-08-09 04:00:39,62.456,-114.3525,47.52,75,100,10.22
103,Lavrentiya,RU,2021-08-09 04:05:16,65.5833,-171.0,45.05,82,56,13.96
104,New Norfolk,AU,2021-08-09 04:05:17,-42.7826,147.0587,58.91,52,90,3.71
105,Santa Fe,AR,2021-08-09 04:05:17,-31.6333,-60.7,51.75,95,100,8.01
106,Pevek,RU,2021-08-09 04:05:18,69.7008,170.3133,37.65,83,68,11.41
107,Jibuti,DJ,2021-08-09 04:01:31,11.5,42.5,85.89,45,72,4.36
108,Comodoro Rivadavia,AR,2021-08-09 04:05:18,-45.8667,-67.5,39.06,52,0,6.91
109,Kungurtug,RU,2021-08-09 04:05:18,50.5994,97.5228,69.58,44,50,1.7
110,Vao,NC,2021-08-09 04:05:19,-22.6667,167.4833,66.2,61,87,23.73
111,Port Alfred,ZA,2021-08-09 04:05:19,-33.5906,26.891,57.99,80,31,16.71
112,Bambous Virieux,MU,2021-08-09 04:05:19,-20.3428,57.7575,70.21,84,89,13.96
113,George,ZA,2021-08-09 04:05:20,-33.963,22.4617,51.91,85,100,16.73
114,Norman Wells,CA,2021-08-09 04:05:20,65.282,-126.8329,53.62,65,92,9.26
115,Takoradi,GH,2021-08-09 04:05:20,4.8845,-1.7554,74.71,90,82,8.77
116,Tiksi,RU,2021-08-09 04:02:07,71.6872,128.8694,53.85,65,98,3.44
117,Hithadhoo,MV,2021-08-09 04:05:21,-0.6,73.0833,81.91,70,91,2.51
118,Ukiah,US,2021-08-09 04:01:06,39.1502,-123.2078,75.36,55,0,2.57
119,Tessalit,ML,2021-08-09 04:05:21,20.1986,1.0114,86.59,39,18,7.47
120,Saskylakh,RU,2021-08-09 04:05:22,71.9167,114.0833,65.98,55,99,6.8
121,Zdanice,CZ,2021-08-09 04:05:22,49.0673,17.0275,59.95,88,23,3.0
122,Talnakh,RU,2021-08-09 04:05:23,69.4865,88.3972,72.07,40,33,9.71
123,Zverinogolovskoye,RU,2021-08-09 04:05:23,54.4586,64.8542,68.52,68,50,11.77
124,Saint-Philippe,RE,2021-08-09 04:05:23,-21.3585,55.7679,71.22,83,66,1.79
125,Bulacan,PH,2021-08-09 04:05:24,14.7928,120.8789,89.15,70,99,5.03
126,Namibe,AO,2021-08-09 04:02:36,-15.1961,12.1522,62.35,82,67,3.38
127,Tazovskiy,RU,2021-08-09 04:05:24,67.4667,78.7,59.23,63,1,14.29
128,Tyrma,RU,2021-08-09 04:02:57,50.0833,132.1667,52.41,92,100,3.51
129,Ayorou,NE,2021-08-09 04:05:25,14.7308,0.9174,87.03,54,42,12.46
130,Sorong,ID,2021-08-09 04:04:31,-0.8833,131.25,82.45,75,76,6.29
131,Priargunsk,RU,2021-08-09 04:05:25,50.3691,119.1012,67.24,86,100,5.79
132,Tshela,CD,2021-08-09 04:05:26,-4.9833,12.9333,64.42,98,54,0.96
133,Kununurra,AU,2021-08-09 04:05:26,-15.7667,128.7333,85.98,16,4,11.5
134,Chenzhou,CN,2021-08-09 04:05:26,25.8,113.0333,94.53,55,100,3.2
135,Forrest City,US,2021-08-09 04:05:27,35.0081,-90.7898,80.83,71,61,10.96
136,Monzon,ES,2021-08-09 04:05:27,41.9108,0.1941,69.22,82,0,3.6
137,Bharuch,IN,2021-08-09 04:05:28,21.7,72.9667,84.04,67,99,11.27
138,Ndago,TZ,2021-08-09 04:05:28,-4.6,34.35,59.31,68,17,4.25
139,Bara,NG,2021-08-09 04:05:29,10.3744,10.7288,71.15,93,92,7.65
140,Cheney,US,2021-08-09 04:00:55,47.4874,-117.5758,59.77,88,64,3.4
141,Sangmelima,CM,2021-08-09 04:05:29,2.9333,11.9833,64.69,99,81,2.84
142,Marsa Matruh,EG,2021-08-09 04:05:29,31.3525,27.2453,78.15,63,0,9.93
143,Quatre Cocos,MU,2021-08-09 04:05:30,-20.2078,57.7625,70.09,84,82,12.3
144,Mundra,IN,2021-08-09 04:05:30,22.85,69.7333,83.64,66,99,13.29
145,Kaitangata,NZ,2021-08-09 04:05:31,-46.2817,169.8464,39.87,96,74,11.54
