City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
622,Saint Anthony,US,77.94,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
631,Mayo,US,79.25,few clouds,38.8876,-76.5119,Resorts Resource Group International
635,Clarence Town,AU,75.15,clear sky,-32.5833,151.7833,River Downs Cottage
636,Les Cayes,HT,79.5,broken clouds,18.2,-73.75,Villa Orphee
645,Baoding,CN,81.25,light rain,38.8511,115.4903,Xiu Lan Hotel
650,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
654,Marsh Harbour,BS,83.46,clear sky,26.5412,-77.0636,Abaco Beach Resort
655,San Francisco,US,77.79,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
656,Manoharpur,IN,83.35,broken clouds,27.3,75.95,कैथल हरियाणा होटल
657,Sabang,ID,81.91,light rain,5.8933,95.3214,Hotel Citra
658,Diamantino,BR,76.64,broken clouds,-14.4086,-56.4461,Hotel Delta
664,Usukhchay,RU,75.15,overcast clouds,41.4225,47.9132,"Gostinitsa ""Mar'yam"", Restoran ""Mar'yam"", Supermarket. Ooo ""More-Gory"""
673,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
