City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
52,Avarua,CK,2021-08-10 03:19:34,-21.2078,-159.775,78.85,78,20,6.91,few clouds
53,Roald,NO,2021-08-10 03:24:05,62.5833,6.1333,60.85,100,90,3.44,overcast clouds
54,Ratnagiri,IN,2021-08-10 03:24:06,16.9833,73.3,80.82,82,100,3.11,overcast clouds
55,Ponta Do Sol,PT,2021-08-10 03:24:06,32.6667,-17.1,70.72,79,24,2.15,few clouds
56,Rio Gallegos,AR,2021-08-10 03:24:07,-51.6226,-69.2181,42.85,56,40,9.22,scattered clouds
57,Cabo San Lucas,MX,2021-08-10 03:24:07,22.8909,-109.9124,85.6,88,43,16.13,scattered clouds
58,Sao Joao Da Barra,BR,2021-08-10 03:20:24,-21.6403,-41.0511,69.46,85,7,12.73,clear sky
59,Hermanus,ZA,2021-08-10 03:24:08,-34.4187,19.2345,46.9,75,0,6.87,clear sky
60,Nikolskoye,RU,2021-08-10 03:24:08,59.7035,30.7861,59.02,95,1,3.76,clear sky
61,Hungund,IN,2021-08-10 03:24:09,16.0667,76.05,76.71,78,100,13.38,overcast clouds
62,El Tigre,VE,2021-08-10 03:24:09,8.8875,-64.2454,74.84,86,100,4.56,overcast clouds
63,San Policarpo,PH,2021-08-10 03:24:09,12.1791,125.5072,81.39,79,100,5.84,overcast clouds
64,New Norfolk,AU,2021-08-10 03:19:47,-42.7826,147.0587,65.88,61,18,4.0,few clouds
65,Atuona,PF,2021-08-10 03:19:55,-9.8,-139.0333,77.99,73,24,20.74,few clouds
66,Ambon,ID,2021-08-10 03:24:10,-3.6954,128.1814,80.58,82,80,10.92,broken clouds
67,Airai,TL,2021-08-10 03:20:26,-8.9266,125.4092,75.22,45,62,2.95,broken clouds
68,Prince Rupert,CA,2021-08-10 03:24:11,54.3161,-130.3201,58.69,85,90,3.44,light rain
69,Kupang,ID,2021-08-10 03:24:11,-10.1667,123.5833,90.18,43,20,10.36,few clouds
70,Hithadhoo,MV,2021-08-10 03:19:38,-0.6,73.0833,81.39,70,76,1.3,broken clouds
71,Khorramshahr,IR,2021-08-10 03:24:12,30.4397,48.1664,93.16,24,0,13.8,clear sky
72,Souillac,MU,2021-08-10 03:24:12,-20.5167,57.5167,70.36,94,20,5.75,few clouds
73,Port Alfred,ZA,2021-08-10 03:24:12,-33.5906,26.891,55.56,71,87,14.34,light rain
74,Zhigansk,RU,2021-08-10 03:24:13,66.7697,123.3711,69.89,41,97,19.26,overcast clouds
75,Sena Madureira,BR,2021-08-10 03:24:13,-9.0656,-68.6569,77.61,49,38,1.03,scattered clouds
76,Tuktoyaktuk,CA,2021-08-10 03:19:33,69.4541,-133.0374,41.0,81,90,8.05,overcast clouds
